sample	population	predicted	correct
ATL_2436	ATL	GOM	FALSE
ATL_2439	ATL	VZ	FALSE
ATL_2440	ATL	VZ	FALSE
ATL_2441	ATL	GOM	FALSE
ATL_2442	ATL	VZ	FALSE
ATL_2443	ATL	VZ	FALSE
ATL_2444	ATL	GOM	FALSE
ATL_2445	ATL	GOM	FALSE
ATL_2446	ATL	GOM	FALSE
ATL_2448	ATL	GOM	FALSE
ATL_2449	ATL	VZ	FALSE
ATL_2450	ATL	VZ	FALSE
ATL_2454	ATL	GOM	FALSE
ATL_2455	ATL	VZ	FALSE
ATL_2456	ATL	VZ	FALSE
ATL_2458	ATL	GOM	FALSE
ATL_2459	ATL	VZ	FALSE
ATL_2460	ATL	VZ	FALSE
ATL_2461	ATL	GOM	FALSE
ATL_2462	ATL	GOM	FALSE
ATL_2466	ATL	SEN	FALSE
ATL_2468	ATL	VZ	FALSE
ATL_2473	ATL	GOM	FALSE
ATL_2475	ATL	VZ	FALSE
GOM_2015	GOM	GOM	TRUE
GOM_2025	GOM	GOM	TRUE
GOM_2029	GOM	GOM	TRUE
GOM_2033	GOM	GOM	TRUE
GOM_2040	GOM	ATL	FALSE
GOM_2045	GOM	GOM	TRUE
GOM_2049	GOM	VZ	FALSE
GOM_2165	GOM	GOM	TRUE
GOM_2166	GOM	GOM	TRUE
GOM_2173	GOM	GOM	TRUE
GOM_2183	GOM	GOM	TRUE
GOM_2187	GOM	VZ	FALSE
GOM_2194	GOM	GOM	TRUE
GOM_2195	GOM	GOM	TRUE
GOM_2198	GOM	VZ	FALSE
GOM_2199	GOM	VZ	FALSE
GOM_2201	GOM	VZ	FALSE
GOM_2202	GOM	GOM	TRUE
GOM_2204	GOM	GOM	TRUE
GOM_2266	GOM	GOM	TRUE
GOM_2276	GOM	GOM	TRUE
GOM_2283	GOM	GOM	TRUE
GOM_2501	GOM	GOM	TRUE
GOM_2507	GOM	GOM	TRUE
GOM_2508	GOM	GOM	TRUE
GOM_2509	GOM	GOM	TRUE
GOM_2511	GOM	IVC	FALSE
GOM_2512	GOM	GOM	TRUE
GOM_2513	GOM	GOM	TRUE
GOM_2514	GOM	VZ	FALSE
GOM_2515	GOM	GOM	TRUE
GOM_2516	GOM	GOM	TRUE
GOM_2517	GOM	GOM	TRUE
GOM_2518	GOM	ATL	FALSE
GOM_2519	GOM	GOM	TRUE
GOM_2522	GOM	GOM	TRUE
GOM_2523	GOM	ATL	FALSE
GOM_2524	GOM	GOM	TRUE
GOM_2525	GOM	ATL	FALSE
GOM_2526	GOM	GOM	TRUE
GOM_2527	GOM	GOM	TRUE
GOM_2529	GOM	GOM	TRUE
GOM_2530	GOM	GOM	TRUE
GOM_2531	GOM	VZ	FALSE
GOM_2532	GOM	GOM	TRUE
GOM_2534	GOM	GOM	TRUE
GOM_2535	GOM	GOM	TRUE
GOM_2536	GOM	VZ	FALSE
GOM_2537	GOM	GOM	TRUE
GOM_2538	GOM	GOM	TRUE
GOM_2539	GOM	VZ	FALSE
GOM_2540	GOM	VZ	FALSE
GOM_2541	GOM	GOM	TRUE
GOM_2542	GOM	GOM	TRUE
GOM_2543	GOM	GOM	TRUE
GOM_2546	GOM	GOM	TRUE
GOM_2547	GOM	GOM	TRUE
GOM_2548	GOM	GOM	TRUE
GOM_2549	GOM	GOM	TRUE
GOM_2550	GOM	VZ	FALSE
GOM_2551	GOM	GOM	TRUE
GOM_2552	GOM	VZ	FALSE
GOM_2553	GOM	GOM	TRUE
GOM_2554	GOM	GOM	TRUE
GOM_2556	GOM	GOM	TRUE
GOM_2561	GOM	GOM	TRUE
IVC_2631	IVC	IVC	TRUE
IVC_2632	IVC	IVC	TRUE
IVC_2633	IVC	GOM	FALSE
IVC_2634	IVC	IVC	TRUE
IVC_2635	IVC	IVC	TRUE
IVC_2636	IVC	IVC	TRUE
IVC_2637	IVC	IVC	TRUE
IVC_2638	IVC	IVC	TRUE
IVC_2639	IVC	IVC	TRUE
IVC_2640	IVC	GOM	FALSE
IVC_2641	IVC	IVC	TRUE
IVC_2644	IVC	IVC	TRUE
IVC_2645	IVC	IVC	TRUE
IVC_2646	IVC	IVC	TRUE
IVC_2647	IVC	IVC	TRUE
IVC_2648	IVC	VZ	FALSE
IVC_2649	IVC	IVC	TRUE
IVC_2650	IVC	IVC	TRUE
IVC_2651	IVC	IVC	TRUE
IVC_2652	IVC	IVC	TRUE
IVC_2653	IVC	GOM	FALSE
IVC_2656	IVC	IVC	TRUE
IVC_2657	IVC	GOM	FALSE
IVC_2658	IVC	IVC	TRUE
IVC_2659	IVC	IVC	TRUE
IVC_2661	IVC	IVC	TRUE
IVC_2662	IVC	IVC	TRUE
IVC_2663	IVC	IVC	TRUE
IVC_2664	IVC	IVC	TRUE
IVC_2665	IVC	IVC	TRUE
IVC_2666	IVC	IVC	TRUE
IVC_2672	IVC	GOM	FALSE
IVC_2673	IVC	GOM	FALSE
IVC_2675	IVC	IVC	TRUE
IVC_2676	IVC	IVC	TRUE
IVC_2677	IVC	VZ	FALSE
IVC_2678	IVC	IVC	TRUE
IVC_2679	IVC	IVC	TRUE
IVC_2680	IVC	GOM	FALSE
IVC_2682	IVC	IVC	TRUE
IVC_2683	IVC	GOM	FALSE
IVC_2684	IVC	IVC	TRUE
IVC_2685	IVC	GOM	FALSE
IVC_2687	IVC	VZ	FALSE
IVC_2688	IVC	GOM	FALSE
IVC_2689	IVC	GOM	FALSE
IVC_2690	IVC	IVC	TRUE
IVC_2691	IVC	IVC	TRUE
IVC_2694	IVC	IVC	TRUE
IVC_2695	IVC	IVC	TRUE
IVC_2696	IVC	IVC	TRUE
IVC_2698	IVC	GOM	FALSE
IVC_2699	IVC	GOM	FALSE
IVC_2700	IVC	VZ	FALSE
IVC_2701	IVC	VZ	FALSE
IVC_2702	IVC	GOM	FALSE
IVC_2703	IVC	GOM	FALSE
IVC_2704	IVC	GOM	FALSE
IVC_2705	IVC	IVC	TRUE
IVC_2706	IVC	IVC	TRUE
IVC_2707	IVC	GOM	FALSE
IVC_2709	IVC	IVC	TRUE
IVC_2710	IVC	IVC	TRUE
IVC_2711	IVC	GOM	FALSE
IVC_2712	IVC	IVC	TRUE
IVC_2713	IVC	GOM	FALSE
IVC_2714	IVC	SEN	FALSE
IVC_2715	IVC	IVC	TRUE
IVC_2718	IVC	IVC	TRUE
IVC_2719	IVC	IVC	TRUE
IVC_2721	IVC	GOM	FALSE
IVC_2722	IVC	VZ	FALSE
IVC_2723	IVC	IVC	TRUE
LA_1791	GOM	GOM	TRUE
LA_2325	GOM	VZ	FALSE
LA_2326	GOM	VZ	FALSE
LA_2327	GOM	VZ	FALSE
LA_2328	GOM	GOM	TRUE
LA_2330	GOM	GOM	TRUE
LA_2334	GOM	GOM	TRUE
LA_2336	GOM	GOM	TRUE
LA_2337	GOM	GOM	TRUE
LA_2338	GOM	GOM	TRUE
LA_2340	GOM	GOM	TRUE
LA_2342	GOM	GOM	TRUE
LA_2343	GOM	ATL	FALSE
LA_2347	GOM	GOM	TRUE
LA_2351	GOM	GOM	TRUE
LA_2356	GOM	GOM	TRUE
LA_2357	GOM	GOM	TRUE
MSAL_1857	GOM	GOM	TRUE
MSAL_1866	GOM	VZ	FALSE
MSAL_1867	GOM	VZ	FALSE
MSAL_1870	GOM	IVC	FALSE
MSAL_1871	GOM	GOM	TRUE
MSAL_1873	GOM	GOM	TRUE
MSAL_1876	GOM	IVC	FALSE
SEN_1927	SEN	GOM	FALSE
SEN_1928	SEN	VZ	FALSE
SEN_1929	SEN	GOM	FALSE
SEN_1931	SEN	VZ	FALSE
SEN_1933	SEN	GOM	FALSE
SEN_1934	SEN	IVC	FALSE
SEN_1937	SEN	GOM	FALSE
SEN_1938	SEN	GOM	FALSE
SEN_1939	SEN	GOM	FALSE
SEN_1941	SEN	VZ	FALSE
SEN_1943	SEN	ATL	FALSE
SEN_1944	SEN	VZ	FALSE
SEN_1945	SEN	SEN	TRUE
SEN_1946	SEN	GOM	FALSE
SEN_1948	SEN	GOM	FALSE
SEN_1950	SEN	GOM	FALSE
SEN_1951	SEN	GOM	FALSE
SEN_1953	SEN	VZ	FALSE
SEN_1954	SEN	GOM	FALSE
SEN_1955	SEN	VZ	FALSE
SEN_1958	SEN	GOM	FALSE
SEN_1961	SEN	VZ	FALSE
SEN_1962	SEN	VZ	FALSE
SEN_1963	SEN	SEN	TRUE
SEN_1964	SEN	VZ	FALSE
SEN_1965	SEN	VZ	FALSE
SEN_1966	SEN	VZ	FALSE
SEN_1967	SEN	GOM	FALSE
SEN_1968	SEN	VZ	FALSE
SEN_1969	SEN	GOM	FALSE
SEN_1970	SEN	VZ	FALSE
SEN_1971	SEN	SEN	TRUE
SEN_1977	SEN	SEN	TRUE
SEN_1979	SEN	SEN	TRUE
SEN_1981	SEN	SEN	TRUE
SEN_1984	SEN	SEN	TRUE
SEN_1985	SEN	GOM	FALSE
SEN_1986	SEN	GOM	FALSE
SEN_2206	SEN	GOM	FALSE
SEN_2208	SEN	VZ	FALSE
SEN_2209	SEN	GOM	FALSE
SEN_2210	SEN	GOM	FALSE
SEN_2211	SEN	GOM	FALSE
SEN_2212	SEN	GOM	FALSE
SEN_2213	SEN	GOM	FALSE
SEN_2216	SEN	GOM	FALSE
SEN_2217	SEN	GOM	FALSE
SEN_2223	SEN	ATL	FALSE
SEN_2225	SEN	GOM	FALSE
SEN_2226	SEN	VZ	FALSE
SEN_2229	SEN	GOM	FALSE
SEN_2231	SEN	SEN	TRUE
SEN_2233	SEN	GOM	FALSE
SEN_2234	SEN	GOM	FALSE
SEN_2235	SEN	GOM	FALSE
SEN_2236	SEN	SEN	TRUE
SEN_2237	SEN	VZ	FALSE
SEN_2238	SEN	SEN	TRUE
SEN_2239	SEN	VZ	FALSE
SEN_2240	SEN	VZ	FALSE
SEN_2241	SEN	GOM	FALSE
SEN_2242	SEN	SEN	TRUE
SEN_2243	SEN	GOM	FALSE
SEN_2244	SEN	VZ	FALSE
SEN_2245	SEN	VZ	FALSE
SEN_2246	SEN	VZ	FALSE
SEN_2247	SEN	VZ	FALSE
SEN_2248	SEN	GOM	FALSE
SEN_2251	SEN	GOM	FALSE
SEN_2252	SEN	VZ	FALSE
SEN_2253	SEN	VZ	FALSE
SEN_2254	SEN	VZ	FALSE
SEN_2255	SEN	VZ	FALSE
SEN_2256	SEN	VZ	FALSE
SEN_2265	SEN	VZ	FALSE
TX_0059	GOM	GOM	TRUE
TX_0060	GOM	VZ	FALSE
TX_0062	GOM	GOM	TRUE
TX_0063	GOM	GOM	TRUE
TX_0066	GOM	GOM	TRUE
TX_0067	GOM	GOM	TRUE
TX_0068	GOM	VZ	FALSE
TX_0071	GOM	GOM	TRUE
TX_0072	GOM	SEN	FALSE
TX_0073	GOM	GOM	TRUE
TX_0074	GOM	VZ	FALSE
TX_0075	GOM	VZ	FALSE
TXL_0003	GOM	GOM	TRUE
TXL_0009	GOM	GOM	TRUE
TXL_0010	GOM	GOM	TRUE
TXL_0012	GOM	GOM	TRUE
TXL_0014	GOM	GOM	TRUE
TXL_0016	GOM	GOM	TRUE
TXL_0018	GOM	GOM	TRUE
TXL_0019	GOM	GOM	TRUE
TXL_0023	GOM	GOM	TRUE
TXL_0029	GOM	GOM	TRUE
TXL_0030	GOM	GOM	TRUE
TXL_0033	GOM	GOM	TRUE
TXL_0037	GOM	GOM	TRUE
TXL_0039	GOM	GOM	TRUE
TXL_0040	GOM	GOM	TRUE
TXL_0041	GOM	GOM	TRUE
TXL_0042	GOM	GOM	TRUE
TXL_0047	GOM	GOM	TRUE
TXL_0052	GOM	GOM	TRUE
TXL_0055	GOM	GOM	TRUE
TXL_0058	GOM	GOM	TRUE
TXL_0080	GOM	GOM	TRUE
TXL_0082	GOM	GOM	TRUE
TXL_0083	GOM	GOM	TRUE
TXL_0084	GOM	GOM	TRUE
TXL_0085	GOM	GOM	TRUE
TXL_0088	GOM	GOM	TRUE
TXL_0091	GOM	GOM	TRUE
VZ_1739	VZ	GOM	FALSE
VZ_1741	VZ	GOM	FALSE
VZ_1742	VZ	GOM	FALSE
VZ_1744	VZ	VZ	TRUE
VZ_1745	VZ	GOM	FALSE
VZ_1746	VZ	GOM	FALSE
VZ_1747	VZ	IVC	FALSE
VZ_1749	VZ	GOM	FALSE
VZ_1751	VZ	VZ	TRUE
VZ_1752	VZ	GOM	FALSE
VZ_1753	VZ	GOM	FALSE
VZ_1754	VZ	GOM	FALSE
VZ_1755	VZ	ATL	FALSE
VZ_1756	VZ	ATL	FALSE
VZ_1758	VZ	ATL	FALSE
VZ_1759	VZ	GOM	FALSE
VZ_1760	VZ	ATL	FALSE
VZ_1761	VZ	GOM	FALSE
VZ_1762	VZ	VZ	TRUE
VZ_1763	VZ	GOM	FALSE
VZ_1764	VZ	VZ	TRUE
VZ_1765	VZ	GOM	FALSE
VZ_1766	VZ	VZ	TRUE
VZ_1767	VZ	VZ	TRUE
VZ_1768	VZ	VZ	TRUE
VZ_1769	VZ	GOM	FALSE
VZ_1770	VZ	VZ	TRUE
VZ_1772	VZ	VZ	TRUE
VZ_1773	VZ	IVC	FALSE
VZ_1774	VZ	VZ	TRUE
VZ_1775	VZ	VZ	TRUE
VZ_1776	VZ	VZ	TRUE
VZ_1777	VZ	GOM	FALSE
VZ_1778	VZ	VZ	TRUE
VZ_1779	VZ	GOM	FALSE
VZ_1780	VZ	GOM	FALSE
VZ_1781	VZ	GOM	FALSE
VZ_1783	VZ	GOM	FALSE
VZ_1784	VZ	GOM	FALSE
VZ_1786	VZ	GOM	FALSE
VZ_1788	VZ	VZ	TRUE
VZ_1789	VZ	GOM	FALSE
VZ_2579	VZ	VZ	TRUE
VZ_2580	VZ	GOM	FALSE
VZ_2581	VZ	GOM	FALSE
VZ_2582	VZ	VZ	TRUE
VZ_2583	VZ	VZ	TRUE
VZ_2584	VZ	VZ	TRUE
VZ_2585	VZ	VZ	TRUE
VZ_2586	VZ	VZ	TRUE
VZ_2587	VZ	GOM	FALSE
VZ_2589	VZ	GOM	FALSE
VZ_2591	VZ	GOM	FALSE
VZ_2592	VZ	VZ	TRUE
VZ_2593	VZ	GOM	FALSE
VZ_2594	VZ	VZ	TRUE
VZ_2595	VZ	GOM	FALSE
VZ_2596	VZ	GOM	FALSE
VZ_2597	VZ	GOM	FALSE
VZ_2598	VZ	ATL	FALSE
VZ_2599	VZ	IVC	FALSE
VZ_2600	VZ	ATL	FALSE
VZ_2601	VZ	GOM	FALSE
VZ_2602	VZ	GOM	FALSE
VZ_2603	VZ	GOM	FALSE
VZ_2604	VZ	ATL	FALSE
VZ_2605	VZ	VZ	TRUE
VZ_2607	VZ	VZ	TRUE
VZ_2608	VZ	VZ	TRUE
VZ_2609	VZ	VZ	TRUE
VZ_2610	VZ	VZ	TRUE
VZ_2611	VZ	GOM	FALSE
VZ_2612	VZ	VZ	TRUE
VZ_2613	VZ	GOM	FALSE
VZ_2614	VZ	VZ	TRUE
VZ_2615	VZ	GOM	FALSE
VZ_2616	VZ	GOM	FALSE
VZ_2617	VZ	VZ	TRUE
VZ_2618	VZ	GOM	FALSE
VZ_2619	VZ	GOM	FALSE
VZ_2620	VZ	VZ	TRUE
VZ_2622	VZ	VZ	TRUE
VZ_2623	VZ	GOM	FALSE
