name seqs bp population year
GOM_2029 4004736 604715136 GOM 2017
GOM_2031 3137128 473706328 GOM 2017
GOM_2033 10055422 1518368722 GOM 2017
GOM_2034 2003274 302494374 GOM 2017
GOM_2035 3612818 545535518 GOM 2017
GOM_2036 6336108 956752308 GOM 2017
GOM_2037 2116762 319631062 GOM 2017
GOM_2038 4035654 609383754 GOM 2017
GOM_2039 7682206 1160013106 GOM 2017
GOM_2040 19929290 3009322790 GOM 2017
GOM_2041 2345686 354198586 GOM 2017
GOM_2044 12427804 1876598404 GOM 2017
GOM_2045 11011832 1662786632 GOM 2017
GOM_2047 15177476 2291798876 GOM 2017
GOM_2048 5975294 902269394 GOM 2017
GOM_2049 35648526 5382927426 GOM 2017
GOM_2165 16594062 2505703362 GOM 2018
GOM_2166 10410074 1571921174 GOM 2018
GOM_2170 3100600 468190600 GOM 2018
GOM_2171 2777176 419353576 GOM 2018
GOM_2172 9778356 1476531756 GOM 2018
GOM_2173 13795442 2083111742 GOM 2018
GOM_2178 3184998 480934698 GOM 2018
GOM_2180 3520412 531582212 GOM 2018
GOM_2181 2880704 434986304 GOM 2018
GOM_2183 14409162 2175783462 GOM 2018
GOM_2184 2617088 395180288 GOM 2018
GOM_2187 11153734 1684213834 GOM 2018
GOM_2189 7141952 1078434752 GOM 2018
GOM_2190 9236166 1394661066 GOM 2018
GOM_2191 4933014 744885114 GOM 2018
GOM_2192 4938572 745724372 GOM 2018
GOM_2193 7374726 1113583626 GOM 2018
GOM_2194 6984766 1054699666 GOM 2018
GOM_2195 6831650 1031579150 GOM 2018
GOM_2196 5171036 780826436 GOM 2018
GOM_2197 13258942 2002100242 GOM 2018
GOM_2198 23725560 3582559560 GOM 2018
GOM_2199 24274772 3665490572 GOM 2018
GOM_2201 47932836 7237858236 GOM 2018
GOM_2202 16192324 2445040924 GOM 2018
GOM_2203 6597948 996290148 GOM 2018
GOM_2204 14807632 2235952432 GOM 2018
GOM_2205 9059834 1368034934 GOM 2018
GOM_2266 6788482 1025060782 GOM 2019
GOM_2267 4047676 611199076 GOM 2019
GOM_2272 2727946 411919846 GOM 2019
GOM_2273 5493892 829577692 GOM 2019
GOM_2276 9236978 1394783678 GOM 2019
GOM_2283 9434130 1424553630 GOM 2019
GOM_2497 5486208 828417408 GOM 2019
GOM_2501 5308974 801655074 GOM 2019
GOM_2504 3027184 457104784 GOM 2019
GOM_2505 5470880 826102880 GOM 2019
GOM_2507 15951254 2408639354 GOM 2019
GOM_2508 22800262 3442839562 GOM 2019
GOM_2509 3883304 586378904 GOM 2019
GOM_2510 2975804 449346404 GOM 2019
GOM_2511 7911970 1194707470 GOM 2019
GOM_2512 2040510 308117010 GOM 2019
GOM_2513 3767968 568963168 GOM 2019
GOM_2514 6592418 995455118 GOM 2019
GOM_2515 6298286 951041186 GOM 2019
GOM_2516 3929330 593328830 GOM 2019
GOM_2517 3008944 454350544 GOM 2019
GOM_2518 5260232 794295032 GOM 2019
GOM_2519 6820696 1029925096 GOM 2019
GOM_2520 2930790 442549290 GOM 2019
GOM_2521 2663752 402226552 GOM 2019
GOM_2522 11935406 1802246306 GOM 2019
GOM_2523 5872502 886747802 GOM 2019
GOM_2524 4072098 614886798 GOM 2019
GOM_2525 7564172 1142189972 GOM 2019
GOM_2526 21809104 3293174704 GOM 2019
GOM_2527 8940630 1350035130 GOM 2019
GOM_2529 14317372 2161923172 GOM 2019
GOM_2530 13161390 1987369890 GOM 2019
GOM_2531 22246298 3359190998 GOM 2019
GOM_2532 8813154 1330786254 GOM 2019
GOM_2534 12757750 1926420250 GOM 2019
GOM_2535 5059426 763973326 GOM 2019
GOM_2536 27157342 4100758642 GOM 2019
GOM_2537 19576406 2956037306 GOM 2019
GOM_2538 11775148 1778047348 GOM 2019
GOM_2539 13371818 2019144518 GOM 2019
GOM_2540 15636908 2361173108 GOM 2019
GOM_2541 21415690 3233769190 GOM 2019
GOM_2542 12557706 1896213606 GOM 2019
GOM_2543 26957178 4070533878 GOM 2019
GOM_2546 5661940 854952940 GOM 2019
GOM_2547 6556630 990051130 GOM 2019
GOM_2548 19189008 2897540208 GOM 2019
GOM_2549 9940678 1501042378 GOM 2019
GOM_2550 26673126 4027642026 GOM 2019
GOM_2551 8090874 1221721974 GOM 2019
GOM_2552 17098824 2581922424 GOM 2019
GOM_2553 14562432 2198927232 GOM 2019
GOM_2554 14745726 2226604626 GOM 2019
GOM_2555 10888850 1644216350 GOM 2019
GOM_2556 16878316 2548625716 GOM 2019
GOM_2557 10731100 1620396100 GOM 2019
GOM_2559 4814998 727064698 GOM 2019
GOM_2560 8461570 1277697070 GOM 2019
GOM_2561 6671052 1007328852 GOM 2019
IVC_2629 6250170 943775670 IVC 2020
IVC_2630 18015320 2720313320 IVC 2020
IVC_2631 5386298 813330998 IVC 2020
IVC_2632 15578992 2352427792 IVC 2020
IVC_2633 24084056 3636692456 IVC 2020
IVC_2634 14301028 2159455228 IVC 2020
IVC_2635 13475394 2034784494 IVC 2020
IVC_2636 9503300 1434998300 IVC 2020
IVC_2637 11182988 1688631188 IVC 2020
IVC_2638 15191050 2293848550 IVC 2020
IVC_2639 12746600 1924736600 IVC 2020
IVC_2640 6928078 1046139778 IVC 2020
IVC_2641 4672894 705606994 IVC 2020
IVC_2642 4087398 617197098 IVC 2020
IVC_2644 15585744 2353447344 IVC 2020
IVC_2645 11443924 1728032524 IVC 2020
IVC_2646 15530330 2345079830 IVC 2020
IVC_2647 21589682 3260041982 IVC 2020
IVC_2648 21517292 3249111092 IVC 2020
IVC_2649 9951342 1502652642 IVC 2020
IVC_2650 15100200 2280130200 IVC 2020
IVC_2651 8280256 1250318656 IVC 2020
IVC_2652 10521046 1588677946 IVC 2020
IVC_2653 26428534 3990708634 IVC 2020
IVC_2654 5554976 838801376 IVC 2020
IVC_2655 6219440 939135440 IVC 2020
IVC_2656 13249604 2000690204 IVC 2020
IVC_2657 15369428 2320783628 IVC 2020
IVC_2658 5069488 765492688 IVC 2020
IVC_2659 10627414 1604739514 IVC 2020
IVC_2660 4361018 658513718 IVC 2020
IVC_2661 10689530 1614119030 IVC 2020
IVC_2662 14642420 2211005420 IVC 2020
IVC_2663 4389246 662776146 IVC 2020
IVC_2664 11569644 1747016244 IVC 2020
IVC_2665 9616136 1452036536 IVC 2020
IVC_2666 5126390 774084890 IVC 2020
IVC_2667 891866 134671766 IVC 2020
IVC_2668 2176926 328715826 IVC 2020
IVC_2669 6777358 1023381058 IVC 2020
IVC_2670 3471906 524257806 IVC 2020
IVC_2671 4758366 718513266 IVC 2020
IVC_2672 3926388 592884588 IVC 2020
IVC_2673 2805536 423635936 IVC 2020
IVC_2674 5052570 762938070 IVC 2020
IVC_2675 4845790 731714290 IVC 2020
IVC_2676 3423378 516930078 IVC 2020
IVC_2677 23998428 3623762628 IVC 2020
IVC_2678 14776444 2231243044 IVC 2020
IVC_2679 11976584 1808464184 IVC 2020
IVC_2680 4097974 618794074 IVC 2020
IVC_2681 5032762 759947062 IVC 2020
IVC_2682 6179716 933137116 IVC 2020
IVC_2683 7410146 1118932046 IVC 2020
IVC_2684 5839184 881716784 IVC 2020
IVC_2685 7784716 1175492116 IVC 2020
IVC_2686 8540976 1289687376 IVC 2020
IVC_2687 5736314 866183414 IVC 2020
IVC_2688 8352324 1261200924 IVC 2020
IVC_2689 16100320 2431148320 IVC 2020
IVC_2690 6328356 955581756 IVC 2020
IVC_2691 6936944 1047478544 IVC 2020
IVC_2692 1997806 301668706 IVC 2020
IVC_2693 1051292 158745092 IVC 2020
IVC_2694 5490622 829083922 IVC 2020
IVC_2695 4153054 627111154 IVC 2020
IVC_2696 4267190 644345690 IVC 2020
IVC_2697 2882570 435268070 IVC 2020
IVC_2698 4583990 692182490 IVC 2020
IVC_2699 2869438 433285138 IVC 2020
IVC_2700 10294380 1554451380 IVC 2020
IVC_2701 9428654 1423726754 IVC 2020
IVC_2702 8951960 1351745960 IVC 2020
IVC_2703 12898936 1947739336 IVC 2020
IVC_2704 3403232 513888032 IVC 2020
IVC_2705 2872590 433761090 IVC 2020
IVC_2706 7541330 1138740830 IVC 2020
IVC_2707 5275034 796530134 IVC 2020
IVC_2708 2108918 318446618 IVC 2020
IVC_2709 4096602 618586902 IVC 2020
IVC_2710 3303330 498802830 IVC 2020
IVC_2711 7927902 1197113202 IVC 2020
IVC_2712 4213358 636217058 IVC 2020
IVC_2713 10825522 1634653822 IVC 2020
IVC_2714 4400502 664475802 IVC 2020
IVC_2715 5684908 858421108 IVC 2020
IVC_2716 1030274 155571374 IVC 2020
IVC_2717 2397784 362065384 IVC 2020
IVC_2718 3255018 491507718 IVC 2020
IVC_2719 3518396 531277796 IVC 2020
IVC_2720 119562 18053862 IVC 2020
IVC_2721 5632058 850440758 IVC 2020
IVC_2722 6678842 1008505142 IVC 2020
IVC_2723 4058014 612760114 IVC 2020
LA_1790 5164974 779911074 LA 2017
LA_1791 11780326 1778829226 LA 2017
LA_1792 1689090 255052590 LA 2017
LA_2325 7415196 1119694596 LA 2018
LA_2326 8014018 1210116718 LA 2018
LA_2327 6682320 1009030320 LA 2018
LA_2328 2287050 345344550 LA 2018
LA_2329 2460274 371501374 LA 2018
LA_2330 6234382 941391682 LA 2018
LA_2334 10834024 1635937624 LA 2018
LA_2336 4192148 633014348 LA 2018
LA_2337 8498428 1283262628 LA 2018
LA_2338 6378000 963078000 LA 2018
LA_2339 2257902 340943202 LA 2018
LA_2340 2691750 406454250 LA 2018
LA_2341 2476988 374025188 LA 2018
LA_2342 8155632 1231500432 LA 2018
LA_2343 14525808 2193397008 LA 2018
LA_2344 3576470 540046970 LA 2018
LA_2345 4537902 685223202 LA 2018
LA_2347 8222466 1241592366 LA 2018
LA_2348 6381328 963580528 LA 2018
LA_2350 11469352 1731872152 LA 2018
LA_2351 18097270 2732687770 LA 2018
LA_2352 5704212 861336012 LA 2018
LA_2353 2147768 324312968 LA 2018
LA_2354 11913790 1798982290 LA 2018
LA_2356 12234144 1847355744 LA 2018
LA_2357 4431422 669144722 LA 2018
MSAL_1857 5371096 811035496 MSAL 2016
MSAL_1859 1486488 224459688 MSAL 2016
MSAL_1861 617300 93212300 MSAL 2016
MSAL_1864 5007902 756193202 MSAL 2016
MSAL_1865 2301312 347498112 MSAL 2016
MSAL_1866 10350566 1562935466 MSAL 2016
MSAL_1867 10402580 1570789580 MSAL 2016
MSAL_1868 3157580 476794580 MSAL 2016
MSAL_1870 6454326 974603226 MSAL 2016
MSAL_1871 4940398 746000098 MSAL 2016
MSAL_1873 3814340 575965340 MSAL 2016
MSAL_1874 4000430 604064930 MSAL 2016
MSAL_1876 8959930 1352949430 MSAL 2016
SEN_1927 17917516 2705544916 SEN 2017
SEN_1928 5774146 871896046 SEN 2017
SEN_1929 14694848 2218922048 SEN 2017
SEN_1930 4394238 663529938 SEN 2017
SEN_1931 11890346 1795442246 SEN 2017
SEN_1933 10286882 1553319182 SEN 2017
SEN_1934 12819232 1935704032 SEN 2017
SEN_1937 3580270 540620770 SEN 2017
SEN_1938 15618930 2358458430 SEN 2017
SEN_1939 5478458 827247158 SEN 2017
SEN_1941 10975060 1657234060 SEN 2017
SEN_1942 3037244 458623844 SEN 2017
SEN_1943 14899542 2249830842 SEN 2017
SEN_1944 8811766 1330576666 SEN 2017
SEN_1945 8354986 1261602886 SEN 2017
SEN_1946 15601458 2355820158 SEN 2017
SEN_1948 19803034 2990258134 SEN 2017
SEN_1949 8410002 1269910302 SEN 2017
SEN_1950 10790384 1629347984 SEN 2017
SEN_1951 15308982 2311656282 SEN 2017
SEN_1953 37380148 5644402348 SEN 2017
SEN_1954 34226616 5168219016 SEN 2017
SEN_1955 45003608 6795544808 SEN 2017
SEN_1958 36457358 5505061058 SEN 2017
SEN_1959 16978076 2563689476 SEN 2017
SEN_1960 14876220 2246309220 SEN 2017
SEN_1961 49423764 7462988364 SEN 2017
SEN_1962 62490092 9436003892 SEN 2017
SEN_1963 7236026 1092639926 SEN 2017
SEN_1964 52781258 7969969958 SEN 2017
SEN_1965 14172124 2139990724 SEN 2017
SEN_1966 17060988 2576209188 SEN 2017
SEN_1967 40857754 6169520854 SEN 2017
SEN_1968 29956564 4523441164 SEN 2017
SEN_1969 27413748 4139475948 SEN 2017
SEN_1970 22311876 3369093276 SEN 2017
SEN_1971 29390548 4437972748 SEN 2017
SEN_1975 14267374 2154373474 SEN 2017
SEN_1977 14727854 2223905954 SEN 2017
SEN_1978 19677766 2971342666 SEN 2017
SEN_1979 28783706 4346339606 SEN 2017
SEN_1980 11640606 1757731506 SEN 2017
SEN_1981 10996578 1660483278 SEN 2017
SEN_1983 17225040 2600981040 SEN 2017
SEN_1984 18165692 2743019492 SEN 2017
SEN_1985 8539124 1289407724 SEN 2017
SEN_1986 8409866 1269889766 SEN 2017
SEN_2206 12990416 1961552816 SEN 2018
SEN_2207 5292904 799228504 SEN 2018
SEN_2208 5493816 829566216 SEN 2018
SEN_2209 9170698 1384775398 SEN 2018
SEN_2210 4680390 706738890 SEN 2018
SEN_2211 7303788 1102871988 SEN 2018
SEN_2212 12700184 1917727784 SEN 2018
SEN_2213 11320578 1709407278 SEN 2018
SEN_2214 3857904 582543504 SEN 2018
SEN_2215 4164646 628861546 SEN 2018
SEN_2216 6179338 933080038 SEN 2018
SEN_2217 5391968 814187168 SEN 2018
SEN_2218 4082882 616515182 SEN 2018
SEN_2219 5908800 892228800 SEN 2018
SEN_2220 5139586 776077486 SEN 2018
SEN_2222 6244260 942883260 SEN 2018
SEN_2223 10259678 1549211378 SEN 2018
SEN_2224 8152046 1230958946 SEN 2018
SEN_2225 6072744 916984344 SEN 2018
SEN_2226 21665692 3271519492 SEN 2018
SEN_2227 12771276 1928462676 SEN 2018
SEN_2228 16240126 2452259026 SEN 2018
SEN_2229 17491546 2641223446 SEN 2018
SEN_2231 12880476 1944951876 SEN 2018
SEN_2232 11505800 1737375800 SEN 2018
SEN_2233 23730372 3583286172 SEN 2018
SEN_2234 13825198 2087604898 SEN 2018
SEN_2235 10327756 1559491156 SEN 2018
SEN_2236 15154146 2288276046 SEN 2018
SEN_2237 12484028 1885088228 SEN 2018
SEN_2238 13115074 1980376174 SEN 2018
SEN_2239 13500220 2038533220 SEN 2018
SEN_2240 10000032 1510004832 SEN 2018
SEN_2241 3026890 457060390 SEN 2018
SEN_2242 7440496 1123514896 SEN 2018
SEN_2243 9101034 1374256134 SEN 2018
SEN_2244 17434404 2632595004 SEN 2018
SEN_2245 14737550 2225370050 SEN 2018
SEN_2246 23468424 3543732024 SEN 2018
SEN_2247 6003032 906457832 SEN 2018
SEN_2248 7321474 1105542574 SEN 2018
SEN_2249 2012884 303945484 SEN 2018
SEN_2250 6974990 1053223490 SEN 2018
SEN_2251 41028088 6195241288 SEN 2018
SEN_2252 28293008 4272244208 SEN 2018
SEN_2253 42239336 6378139736 SEN 2018
SEN_2254 23476886 3545009786 SEN 2018
SEN_2255 26855804 4055226404 SEN 2018
SEN_2256 19334278 2919475978 SEN 2018
SEN_2258 5337600 805977600 SEN 2019
SEN_2259 4559160 688433160 SEN 2019
SEN_2260 3851864 581631464 SEN 2019
SEN_2261 2612392 394471192 SEN 2019
SEN_2262 8009036 1209364436 SEN 2019
SEN_2263 3084156 465707556 SEN 2019
SEN_2264 1933506 291959406 SEN 2019
SEN_2265 22942152 3464264952 SEN 2019
TX_1 2447264 369536864 TX 2015
TX_2 5764920 870502920 TX 2015
TX_56 2023408 305534608 TX 2013
TX_57 4726716 713734116 TX 2013
TX_58 2038458 307807158 TX 2013
TX_59 6046176 912972576 TX 2013
TX_60 8064576 1217750976 TX 2013
TX_61 2271514 342998614 TX 2013
TX_62 6805170 1027580670 TX 2013
TX_63 13086700 1976091700 TX 2013
TX_66 6319640 954265640 TX 2013
TX_67 8223784 1241791384 TX 2013
TX_68 8673860 1309752860 TX 2013
TX_71 15229352 2299632152 TX 2013
TX_72 10838644 1636635244 TX 2013
TX_73 15106800 2281126800 TX 2013
TX_74 8553664 1291603264 TX 2013
TX_75 15420078 2328431778 TX 2013
TXL_1 1359434 205274534 TXL 2015
TXL_10 4102790 619521290 TXL 2015
TXL_11 2895948 437288148 TXL 2015
TXL_12 2505122 378273422 TXL 2015
TXL_13 2258652 341056452 TXL 2015
TXL_14 5356530 808836030 TXL 2015
TXL_15 2830550 427413050 TXL 2015
TXL_16 2424272 366065072 TXL 2015
TXL_17 2499764 377464364 TXL 2015
TXL_18 2617880 395299880 TXL 2015
TXL_19 5865360 885669360 TXL 2015
TXL_2 8620788 1301738988 TXL 2015
TXL_20 3286010 496187510 TXL 2015
TXL_21 4461712 673718512 TXL 2015
TXL_22 1416896 213951296 TXL 2015
TXL_23 10094218 1524226918 TXL 2015
TXL_24 2212228 334046428 TXL 2015
TXL_25 734600 110924600 TXL 2015
TXL_26 2777054 419335154 TXL 2015
TXL_27 2419156 365292556 TXL 2015
TXL_28 4164946 628906846 TXL 2015
TXL_29 27331402 4127041702 TXL 2015
TXL_3 6536358 986990058 TXL 2015
TXL_30 16016792 2418535592 TXL 2015
TXL_31 7428114 1121645214 TXL 2015
TXL_32 2916640 440412640 TXL 2015
TXL_33 10662406 1610023306 TXL 2015
TXL_34 4675982 706073282 TXL 2015
TXL_35 5164860 779893860 TXL 2015
TXL_36 5063118 764530818 TXL 2015
TXL_37 9216750 1391729250 TXL 2015
TXL_38 4636794 700155894 TXL 2015
TXL_39 8247444 1245364044 TXL 2015
TXL_4 1240808 187362008 TXL 2015
TXL_40 6344632 958039432 TXL 2015
TXL_41 7911078 1194572778 TXL 2015
TXL_42 8208858 1239537558 TXL 2010
TXL_43 7283036 1099738436 TXL 2010
TXL_44 12077110 1823643610 TXL 2010
TXL_45 7085664 1069935264 TXL 2010
TXL_46 5133746 775195646 TXL 2010
TXL_47 4869118 735236818 TXL 2010
TXL_48 5283738 797844438 TXL 2010
TXL_49 4071420 614784420 TXL 2010
TXL_5 2322956 350766356 TXL 2015
TXL_50 7207830 1088382330 TXL 2010
TXL_51 2509122 378877422 TXL 2010
TXL_52 2653442 400669742 TXL 2010
TXL_53 1690380 255247380 TXL 2010
TXL_54 2995150 452267650 TXL 2010
TXL_55 3481844 525758444 TXL 2010
TXL_56 5221518 788449218 TXL 2010
TXL_57 6545208 988326408 TXL 2010
TXL_58 2429516 366856916 TXL 2010
TXL_59 3601022 543754322 TXL 2010
TXL_6 5807614 876949714 TXL 2015
TXL_60 723348 109225548 TXL 2010
TXL_61 1236778 186753478 TXL 2010
TXL_62 1972306 297818206 TXL 2010
TXL_63 836142 126257442 TXL 2010
TXL_64 3783194 571262294 TXL 2010
TXL_65 2808480 424080480 TXL 2010
TXL_66 5876616 887369016 TXL 2010
TXL_67 808786 122126686 TXL 2010
TXL_68 1876236 283311636 TXL 2010
TXL_69 3407374 514513474 TXL 2010
TXL_7 9452384 1427309984 TXL 2015
TXL_70 5539274 836430374 TXL 2010
TXL_71 8608212 1299840012 TXL 2010
TXL_72 15637740 2361298740 TXL 2010
TXL_73 3156194 476585294 TXL 2010
TXL_74 3919678 591871378 TXL 2010
TXL_75 4705648 710552848 TXL 2010
TXL_76 7517390 1135125890 TXL 2010
TXL_77 2841284 429033884 TXL 2010
TXL_78 6988468 1055258668 TXL 2010
TXL_79 4154090 627267590 TXL 2010
TXL_8 6563838 991139538 TXL 2015
TXL_80 6578564 993363164 TXL 2010
TXL_81 3566978 538613678 TXL 2010
TXL_82 7622788 1151040988 TXL 2010
TXL_83 4389182 662766482 TXL 2010
TXL_84 9881244 1492067844 TXL 2010
TXL_85 5246028 792150228 TXL 2010
TXL_86 1525784 230393384 TXL 2010
TXL_87 1735296 262029696 TXL 2010
TXL_88 7345990 1109244490 TXL 2010
TXL_89 3547322 535645622 TXL 2010
TXL_9 7135634 1077480734 TXL 2015
TXL_90 2902876 438334276 TXL 2010
TXL_91 5765272 870556072 TXL 2010
TXL_92 6116880 923648880 TXL 2010
TXL_93 6712582 1013599882 TXL 2010
TXL_94 7852060 1185661060 TXL 2010
TXL_95 6003852 906581652 TXL 2010
TXL_96 4916032 742320832 TXL 2010
TXL_97 6318762 954133062 TXL 2010
VZ_1739 4088966 617433866 VZ 2017
VZ_1740 5996122 905414422 VZ 2017
VZ_1741 3148742 475460042 VZ 2017
VZ_1742 4689218 708071918 VZ 2017
VZ_1744 4816978 727363678 VZ 2017
VZ_1745 2190542 330771842 VZ 2017
VZ_1746 10495322 1584793622 VZ 2017
VZ_1747 9053516 1367080916 VZ 2017
VZ_1748 7048032 1064252832 VZ 2017
VZ_1749 2184296 329828696 VZ 2017
VZ_1751 4703122 710171422 VZ 2017
VZ_1752 6212016 938014416 VZ 2017
VZ_1753 4853276 732844676 VZ 2017
VZ_1754 10401524 1570630124 VZ 2017
VZ_1755 14898738 2249709438 VZ 2017
VZ_1756 18538446 2799305346 VZ 2017
VZ_1758 15473132 2336442932 VZ 2017
VZ_1759 14196198 2143625898 VZ 2017
VZ_1760 11579424 1748493024 VZ 2017
VZ_1761 22176692 3348680492 VZ 2017
VZ_1762 50127324 7569225924 VZ 2017
VZ_1763 33371156 5039044556 VZ 2017
VZ_1764 47750570 7210336070 VZ 2017
VZ_1765 25724786 3884442686 VZ 2017
VZ_1766 29809164 4501183764 VZ 2017
VZ_1767 21021224 3174204824 VZ 2017
VZ_1768 28431724 4293190324 VZ 2017
VZ_1769 4973762 751038062 VZ 2017
VZ_1770 12053230 1820037730 VZ 2017
VZ_1772 9222742 1392634042 VZ 2017
VZ_1773 2999424 452913024 VZ 2017
VZ_1774 24120324 3642168924 VZ 2017
VZ_1775 38989942 5887481242 VZ 2017
VZ_1776 30868686 4661171586 VZ 2017
VZ_1777 2961908 447248108 VZ 2017
VZ_1778 38513824 5815587424 VZ 2017
VZ_1779 28889882 4362372182 VZ 2017
VZ_1780 14289620 2157732620 VZ 2017
VZ_1781 15561410 2349772910 VZ 2017
VZ_1783 29025952 4382918752 VZ 2017
VZ_1784 24321970 3672617470 VZ 2017
VZ_1786 13067162 1973141462 VZ 2017
VZ_1788 15973484 2411996084 VZ 2017
VZ_1789 14134382 2134291682 VZ 2017
VZ_2579 35290908 5328927108 VZ 2017
VZ_2580 6000440 906066440 VZ 2017
VZ_2581 2695706 407051606 VZ 2017
