"name" "population" "year"
"77" "ATL_2475" "ATL" 2019
"78" "GOM_2015" "GOM" 2017
"79" "GOM_2025" "GOM" 2017
"80" "GOM_2029" "GOM" 2017
"81" "GOM_2033" "GOM" 2017
"82" "GOM_2040" "GOM" 2017
"83" "GOM_2045" "GOM" 2017
"84" "GOM_2049" "GOM" 2017
"85" "GOM_2165" "GOM" 2018
"86" "GOM_2166" "GOM" 2018
"87" "GOM_2173" "GOM" 2018
"88" "GOM_2183" "GOM" 2018
"89" "GOM_2187" "GOM" 2018
"90" "GOM_2194" "GOM" 2018
"91" "GOM_2195" "GOM" 2018
"92" "GOM_2198" "GOM" 2018
"93" "GOM_2199" "GOM" 2018
"94" "GOM_2201" "GOM" 2018
"95" "GOM_2202" "GOM" 2018
"96" "GOM_2204" "GOM" 2018
"97" "GOM_2266" "GOM" 2019
"98" "GOM_2276" "GOM" 2019
"99" "GOM_2283" "GOM" 2019
"100" "GOM_2501" "GOM" 2019
"101" "GOM_2507" "GOM" 2019
"102" "GOM_2508" "GOM" 2019
"103" "GOM_2509" "GOM" 2019
"104" "GOM_2511" "GOM" 2019
"105" "GOM_2512" "GOM" 2019
"106" "GOM_2513" "GOM" 2019
"107" "GOM_2514" "GOM" 2019
"108" "GOM_2515" "GOM" 2019
"109" "GOM_2516" "GOM" 2019
"110" "GOM_2517" "GOM" 2019
"111" "GOM_2518" "GOM" 2019
"112" "GOM_2519" "GOM" 2019
"113" "GOM_2522" "GOM" 2019
"114" "GOM_2523" "GOM" 2019
"115" "GOM_2524" "GOM" 2019
"116" "GOM_2525" "GOM" 2019
"117" "GOM_2526" "GOM" 2019
"118" "GOM_2527" "GOM" 2019
"119" "GOM_2529" "GOM" 2019
"120" "GOM_2530" "GOM" 2019
"121" "GOM_2531" "GOM" 2019
"122" "GOM_2532" "GOM" 2019
"123" "GOM_2534" "GOM" 2019
"124" "GOM_2535" "GOM" 2019
"125" "GOM_2536" "GOM" 2019
"126" "GOM_2537" "GOM" 2019
"127" "GOM_2538" "GOM" 2019
"128" "GOM_2539" "GOM" 2019
"129" "GOM_2540" "GOM" 2019
"130" "GOM_2541" "GOM" 2019
"131" "GOM_2542" "GOM" 2019
"132" "GOM_2543" "GOM" 2019
"133" "GOM_2546" "GOM" 2019
"134" "GOM_2547" "GOM" 2019
"135" "GOM_2548" "GOM" 2019
"136" "GOM_2549" "GOM" 2019
"137" "GOM_2550" "GOM" 2019
"138" "GOM_2551" "GOM" 2019
"139" "GOM_2552" "GOM" 2019
"140" "GOM_2553" "GOM" 2019
"141" "GOM_2554" "GOM" 2019
"142" "GOM_2556" "GOM" 2019
"143" "GOM_2561" "GOM" 2019
"144" "LA_1791" "GOM" 2017
"145" "LA_2325" "GOM" 2018
"146" "LA_2326" "GOM" 2018
"147" "LA_2327" "GOM" 2018
"148" "LA_2328" "GOM" 2018
"149" "LA_2330" "GOM" 2018
"150" "LA_2334" "GOM" 2018
"151" "LA_2336" "GOM" 2018
"152" "LA_2337" "GOM" 2018
"153" "LA_2338" "GOM" 2018
"154" "LA_2340" "GOM" 2018
"155" "LA_2342" "GOM" 2018
"156" "LA_2343" "GOM" 2018
"157" "LA_2347" "GOM" 2018
"158" "LA_2351" "GOM" 2018
"159" "LA_2356" "GOM" 2018
"160" "LA_2357" "GOM" 2018
"161" "MSAL_1857" "GOM" 2016
"162" "MSAL_1866" "GOM" 2016
"163" "MSAL_1867" "GOM" 2016
"164" "MSAL_1870" "GOM" 2016
"165" "MSAL_1871" "GOM" 2016
"166" "MSAL_1873" "GOM" 2016
"167" "MSAL_1876" "GOM" 2016
"168" "IVC_2631" "IVC" 2020
"169" "IVC_2632" "IVC" 2020
"170" "IVC_2633" "IVC" 2020
"171" "IVC_2634" "IVC" 2020
"172" "IVC_2635" "IVC" 2020
"173" "IVC_2636" "IVC" 2020
"174" "IVC_2637" "IVC" 2020
"175" "IVC_2638" "IVC" 2020
"176" "IVC_2639" "IVC" 2020
"177" "IVC_2640" "IVC" 2020
"178" "IVC_2641" "IVC" 2020
"179" "IVC_2644" "IVC" 2020
"180" "IVC_2645" "IVC" 2020
"181" "IVC_2646" "IVC" 2020
"182" "IVC_2647" "IVC" 2020
"183" "IVC_2648" "IVC" 2020
"184" "IVC_2649" "IVC" 2020
"185" "IVC_2650" "IVC" 2020
"186" "IVC_2651" "IVC" 2020
"187" "IVC_2652" "IVC" 2020
"188" "IVC_2653" "IVC" 2020
"189" "IVC_2656" "IVC" 2020
"190" "IVC_2657" "IVC" 2020
"191" "IVC_2658" "IVC" 2020
"192" "IVC_2659" "IVC" 2020
"193" "IVC_2661" "IVC" 2020
"194" "IVC_2662" "IVC" 2020
"195" "IVC_2663" "IVC" 2020
"196" "IVC_2664" "IVC" 2020
"197" "IVC_2665" "IVC" 2020
"198" "IVC_2666" "IVC" 2020
"199" "IVC_2672" "IVC" 2020
"200" "IVC_2673" "IVC" 2020
"201" "IVC_2675" "IVC" 2020
"202" "IVC_2676" "IVC" 2020
"203" "IVC_2677" "IVC" 2020
"204" "IVC_2678" "IVC" 2020
"205" "IVC_2679" "IVC" 2020
"206" "IVC_2680" "IVC" 2020
"207" "IVC_2682" "IVC" 2020
"208" "IVC_2683" "IVC" 2020
"209" "IVC_2684" "IVC" 2020
"210" "IVC_2685" "IVC" 2020
"211" "IVC_2687" "IVC" 2020
"212" "IVC_2688" "IVC" 2020
"213" "IVC_2689" "IVC" 2020
"214" "IVC_2690" "IVC" 2020
"215" "IVC_2691" "IVC" 2020
"216" "IVC_2694" "IVC" 2020
"217" "IVC_2695" "IVC" 2020
"218" "IVC_2696" "IVC" 2020
"219" "IVC_2698" "IVC" 2020
"220" "IVC_2699" "IVC" 2020
"221" "IVC_2700" "IVC" 2020
"222" "IVC_2701" "IVC" 2020
"223" "IVC_2702" "IVC" 2020
"224" "IVC_2703" "IVC" 2020
"225" "IVC_2704" "IVC" 2020
"226" "IVC_2705" "IVC" 2020
"227" "IVC_2706" "IVC" 2020
"228" "IVC_2707" "IVC" 2020
"229" "IVC_2709" "IVC" 2020
"230" "IVC_2710" "IVC" 2020
"231" "IVC_2711" "IVC" 2020
"232" "IVC_2712" "IVC" 2020
"233" "IVC_2713" "IVC" 2020
"234" "IVC_2714" "IVC" 2020
"235" "IVC_2715" "IVC" 2020
"236" "IVC_2718" "IVC" 2020
"237" "IVC_2719" "IVC" 2020
"238" "IVC_2721" "IVC" 2020
"239" "IVC_2722" "IVC" 2020
"240" "IVC_2723" "IVC" 2020
"241" "SEN_1927" "SEN" 2017
"242" "SEN_1928" "SEN" 2017
"243" "SEN_1929" "SEN" 2017
"244" "SEN_1931" "SEN" 2017
"245" "SEN_1933" "SEN" 2017
"246" "SEN_1934" "SEN" 2017
"247" "SEN_1937" "SEN" 2017
"248" "SEN_1938" "SEN" 2017
"249" "SEN_1939" "SEN" 2017
"250" "SEN_1941" "SEN" 2017
"251" "SEN_1943" "SEN" 2017
"252" "SEN_1944" "SEN" 2017
"253" "SEN_1945" "SEN" 2017
"254" "SEN_1946" "SEN" 2017
"255" "SEN_1948" "SEN" 2017
"256" "SEN_1950" "SEN" 2017
"257" "SEN_1951" "SEN" 2017
"258" "SEN_1953" "SEN" 2017
"259" "SEN_1954" "SEN" 2017
"260" "SEN_1955" "SEN" 2017
"261" "SEN_1958" "SEN" 2017
"262" "SEN_1961" "SEN" 2017
"263" "SEN_1962" "SEN" 2017
"264" "SEN_1963" "SEN" 2017
"265" "SEN_1964" "SEN" 2017
"266" "SEN_1965" "SEN" 2017
"267" "SEN_1966" "SEN" 2017
"268" "SEN_1967" "SEN" 2017
"269" "SEN_1968" "SEN" 2017
"270" "SEN_1969" "SEN" 2017
"271" "SEN_1970" "SEN" 2017
"272" "SEN_1971" "SEN" 2017
"273" "SEN_1977" "SEN" 2017
"274" "SEN_1979" "SEN" 2017
"275" "SEN_1981" "SEN" 2017
"276" "SEN_1984" "SEN" 2017
"277" "SEN_1985" "SEN" 2017
"278" "SEN_1986" "SEN" 2017
"279" "SEN_2206" "SEN" 2018
"280" "SEN_2208" "SEN" 2018
"281" "SEN_2209" "SEN" 2018
"282" "SEN_2210" "SEN" 2018
"283" "SEN_2211" "SEN" 2018
"284" "SEN_2212" "SEN" 2018
"285" "SEN_2213" "SEN" 2018
"286" "SEN_2216" "SEN" 2018
"287" "SEN_2217" "SEN" 2018
"288" "SEN_2223" "SEN" 2018
"289" "SEN_2225" "SEN" 2018
"290" "SEN_2226" "SEN" 2018
"291" "SEN_2229" "SEN" 2018
"292" "SEN_2231" "SEN" 2018
"293" "SEN_2233" "SEN" 2018
"294" "SEN_2234" "SEN" 2018
"295" "SEN_2235" "SEN" 2018
"296" "SEN_2236" "SEN" 2018
"297" "SEN_2237" "SEN" 2018
"298" "SEN_2238" "SEN" 2018
"299" "SEN_2239" "SEN" 2018
"300" "SEN_2240" "SEN" 2018
"301" "SEN_2241" "SEN" 2018
"302" "SEN_2242" "SEN" 2018
"303" "SEN_2243" "SEN" 2018
"304" "SEN_2244" "SEN" 2018
"305" "SEN_2245" "SEN" 2018
"306" "SEN_2246" "SEN" 2018
"307" "SEN_2247" "SEN" 2018
"308" "SEN_2248" "SEN" 2018
"309" "SEN_2251" "SEN" 2018
"310" "SEN_2252" "SEN" 2018
"311" "SEN_2253" "SEN" 2018
"312" "SEN_2254" "SEN" 2018
"313" "SEN_2255" "SEN" 2018
"314" "SEN_2256" "SEN" 2018
"315" "SEN_2265" "SEN" 2019
"316" "TXL_0003" "TX" 2015
"317" "TXL_0009" "TX" 2015
"318" "TXL_0010" "TX" 2015
"319" "TXL_0012" "TX" 2015
"320" "TXL_0014" "TX" 2015
"321" "TXL_0016" "TX" 2015
"322" "TXL_0018" "TX" 2015
"323" "TXL_0019" "TX" 2015
"324" "TXL_0023" "TX" 2015
"325" "TXL_0029" "TX" 2015
"326" "TXL_0030" "TX" 2015
"327" "TXL_0033" "TX" 2015
"328" "TXL_0037" "TX" 2015
"329" "TXL_0039" "TX" 2015
"330" "TXL_0040" "TX" 2015
"331" "TXL_0041" "TX" 2015
"332" "TXL_0042" "TX" 2010
"333" "TXL_0047" "TX" 2010
"334" "TXL_0052" "TX" 2010
"335" "TXL_0055" "TX" 2010
"336" "TXL_0058" "TX" 2010
"337" "TXL_0080" "TX" 2010
"338" "TXL_0082" "TX" 2010
"339" "TXL_0083" "TX" 2010
"340" "TXL_0084" "TX" 2010
"341" "TXL_0085" "TX" 2010
"342" "TXL_0088" "TX" 2010
"343" "TXL_0091" "TX" 2010
"344" "TX_0059" "TX" 2013
"345" "TX_0060" "TX" 2013
"346" "TX_0062" "TX" 2013
"347" "TX_0063" "TX" 2013
"348" "TX_0066" "TX" 2013
"349" "TX_0067" "TX" 2013
"350" "TX_0068" "TX" 2013
"351" "TX_0071" "TX" 2013
"352" "TX_0072" "TX" 2013
"353" "TX_0073" "TX" 2013
"354" "TX_0074" "TX" 2013
"355" "TX_0075" "TX" 2013
"356" "VZ_1739" "VZ" 2017
"357" "VZ_1741" "VZ" 2017
"358" "VZ_1742" "VZ" 2017
"359" "VZ_1744" "VZ" 2017
"360" "VZ_1745" "VZ" 2017
"361" "VZ_1746" "VZ" 2017
"362" "VZ_1747" "VZ" 2017
"363" "VZ_1749" "VZ" 2017
"364" "VZ_1751" "VZ" 2017
"365" "VZ_1752" "VZ" 2017
"366" "VZ_1753" "VZ" 2017
"367" "VZ_1754" "VZ" 2017
"368" "VZ_1755" "VZ" 2017
"369" "VZ_1756" "VZ" 2017
"370" "VZ_1758" "VZ" 2017
"371" "VZ_1759" "VZ" 2017
"372" "VZ_1760" "VZ" 2017
"373" "VZ_1761" "VZ" 2017
"374" "VZ_1762" "VZ" 2017
"375" "VZ_1763" "VZ" 2017
"376" "VZ_1764" "VZ" 2017
"377" "VZ_1765" "VZ" 2017
"378" "VZ_1766" "VZ" 2017
"379" "VZ_1767" "VZ" 2017
"380" "VZ_1768" "VZ" 2017
"381" "VZ_1769" "VZ" 2017
"382" "VZ_1770" "VZ" 2017
"383" "VZ_1772" "VZ" 2017
"384" "VZ_1773" "VZ" 2017
"385" "VZ_1774" "VZ" 2017
"386" "VZ_1775" "VZ" 2017
"387" "VZ_1776" "VZ" 2017
"388" "VZ_1777" "VZ" 2017
"389" "VZ_1778" "VZ" 2017
"390" "VZ_1779" "VZ" 2017
"391" "VZ_1780" "VZ" 2017
"392" "VZ_1781" "VZ" 2017
"393" "VZ_1783" "VZ" 2017
"394" "VZ_1784" "VZ" 2017
"395" "VZ_1786" "VZ" 2017
"396" "VZ_1788" "VZ" 2017
"397" "VZ_1789" "VZ" 2017
"398" "VZ_2579" "VZ" 2017
"399" "VZ_2580" "VZ" 2017
"400" "VZ_2581" "VZ" 2017
"401" "VZ_2582" "VZ" 2017
"402" "VZ_2583" "VZ" 2017
"403" "VZ_2584" "VZ" 2017
"404" "VZ_2585" "VZ" 2017
"405" "VZ_2586" "VZ" 2017
"406" "VZ_2587" "VZ" 2017
"407" "VZ_2589" "VZ" 2019
"408" "VZ_2591" "VZ" 2019
"409" "VZ_2592" "VZ" 2019
"410" "VZ_2593" "VZ" 2019
"411" "VZ_2594" "VZ" 2019
"412" "VZ_2595" "VZ" 2019
"413" "VZ_2596" "VZ" 2019
"414" "VZ_2597" "VZ" 2019
"415" "VZ_2598" "VZ" 2019
"416" "VZ_2599" "VZ" 2019
"417" "VZ_2600" "VZ" 2019
"418" "VZ_2601" "VZ" 2019
"419" "VZ_2602" "VZ" 2019
"420" "VZ_2603" "VZ" 2019
"421" "VZ_2604" "VZ" 2019
"422" "VZ_2605" "VZ" 2019
"423" "VZ_2607" "VZ" 2019
"424" "VZ_2608" "VZ" 2019
"425" "VZ_2609" "VZ" 2019
"426" "VZ_2610" "VZ" 2019
"427" "VZ_2611" "VZ" 2019
"428" "VZ_2612" "VZ" 2019
"429" "VZ_2613" "VZ" 2019
"430" "VZ_2614" "VZ" 2019
"431" "VZ_2615" "VZ" 2019
"432" "VZ_2616" "VZ" 2019
"433" "VZ_2617" "VZ" 2019
"434" "VZ_2618" "VZ" 2019
"435" "VZ_2619" "VZ" 2019
"436" "VZ_2620" "VZ" 2019
"437" "VZ_2622" "VZ" 2019
"438" "VZ_2623" "VZ" 2019
